ori,des,free_flow_time,,,,,
1,6706,2.26,,,,,
2,33087,0.07,,,,,
3,30799,0.64,,,,,
4,30800,0.31,,,,,
5,6692,0.17,,,,,
6,30791,0.26,,,,,
7,30801,0.17,,,,,
8,30789,0.08,,,,,
9,30802,0.07,,,,,
10,28781,0.17,,,,,
11,27554,0.11,,,,,
12,30741,0.06,,,,,
13,27553,0.27,,,,,
14,6706,0.17,,,,,
15,27548,0.17,,,,,
16,27550,0.12,,,,,
17,27557,0.35,,,,,
18,30803,0.09,,,,,
19,27555,0.13,,,,,
20,31095,0.09,,,,,
21,30788,0.08,,,,,
22,30792,0.1,,,,,
23,30965,0.15,,,,,
24,27546,0.55,,,,,
25,6710,0.11,,,,,
26,30966,0.1,,,,,
27,30024,0.08,,,,,
28,27557,0.28,,,,,
29,29632,0.04,,,,,
29,30257,0.04,,,,,
30,30250,0.04,,,,,
31,30252,0.04,,,,,
32,30258,0.05,,,,,
33,30253,0.07,,,,,
34,30260,0.05,,,,,
35,30255,0.05,,,,,
36,29633,0.06,,,,,
36,29634,0.14,,,,,
37,30262,0.06,,,,,
38,28275,0.17,,,,,
39,29337,0.09,,,,,
39,29480,0.08,,,,,
40,29992,0.06,,,,,
41,29993,0.09,,,,,
41,30345,0.08,,,,,
42,29984,0.09,,,,,
43,29984,0.16,,,,,
43,29994,0.07,,,,,
44,29984,0.1,,,,,
44,29994,0.07,,,,,
45,29965,0.07,,,,,
45,29966,0.04,,,,,
46,29964,0.09,,,,,
46,30025,0.11,,,,,
47,29985,0.07,,,,,
48,29996,0.11,,,,,
48,30027,0.04,,,,,
49,30026,0.06,,,,,
50,29999,0.07,,,,,
51,29997,0.03,,,,,
51,29998,0.13,,,,,
52,28513,0.07,,,,,
53,6770,0.08,,,,,
54,30028,0.15,,,,,
54,30029,0.08,,,,,
55,29969,0.05,,,,,
56,6821,0.08,,,,,
57,29957,0.1,,,,,
57,30285,0.04,,,,,
58,30159,0.09,,,,,
59,29958,0.07,,,,,
